,Latitude,Longitude,ReconAge,ReconPlateID
0,-29.2578,177.9378,0.0,839.0
1,-46.5703959273922,166.865367832868,1.0,81315.0
2,-30.9,179.114,1.0,839.0
3,-37.2825417398132,176.275247198328,1.0,8065.0
4,-37.2825417398132,176.275247198328,1.0,8065.0
5,-36.8967310666204,174.851666596529,1.0,8065.0
6,-35.4797499786152,173.801601281202,1.0,8065.0
7,-36.9214484844172,174.85146148792,1.0,8065.0
8,-37.0104872840772,174.86200880988,1.0,8065.0
9,-37.2881263679737,176.238263195309,1.0,8065.0
10,-37.2954280256796,176.235208485091,1.0,8065.0
11,-37.2762569324642,176.24336668853,1.0,8065.0
12,-37.2764201248199,176.237732593718,1.0,8065.0
13,-37.2952322963833,176.241971129376,1.0,8065.0
14,-37.0088373029396,174.860998040692,1.0,8065.0
15,-37.276172528748,176.277211958579,1.0,8065.0
16,-37.2701657497062,176.266782632541,1.0,8065.0
17,-36.8875836403585,174.836364969826,1.0,8065.0
18,-37.2763702885159,176.270451160306,1.0,8065.0
19,-36.9677847918719,174.745307730874,1.0,8065.0
20,-31.05,178.885,1.0,839.0
21,-36.8908930230204,174.838382524609,1.0,8065.0
22,-37.2825417398132,176.275247198328,1.0,8065.0
23,-36.9020930664513,174.781860150199,1.0,8065.0
24,-37.2769612173995,176.250168524194,1.0,8065.0
25,-36.9321576769516,174.851365392335,1.0,8065.0
26,-38.3847027145054,175.938487994804,1.0,8065.0
27,-35.3022546832386,173.985080206084,1.0,8065.0
28,-29.2578,177.9378,1.0,839.0
29,-36.9313082031681,174.846245744123,1.0,8065.0
30,-36.9148690531161,174.854597253768,1.0,8065.0
31,-36.9982591764421,174.742954566474,1.0,8065.0
32,-37.2769612173995,176.250168524194,1.0,8065.0
33,-36.9958124631951,174.747095073392,1.0,8065.0
34,-36.9990897831823,174.743975594774,1.0,8065.0
35,-36.9872336184252,174.828308858279,1.0,8065.0
36,-36.9077095679959,174.75719046532,1.0,8065.0
37,-46.5787155605152,166.902067398969,1.0,81315.0
38,-36.9221999874982,174.838111960986,1.0,8065.0
39,-36.8801881992917,174.705153269877,1.0,8065.0
40,-35.2189103446769,174.025539860186,1.0,8065.0
41,-36.8926427139247,174.720407289708,1.0,8065.0
42,-37.2825417398132,176.275247198328,1.0,8065.0
43,-36.8028387391177,174.858614034122,1.0,8065.0
44,-30.9,179.114,1.0,839.0
45,-36.866284998658,174.720681261071,1.0,8065.0
46,-36.7831270766813,174.870043041701,1.0,8065.0
47,-36.7783070236422,174.893633212503,1.0,8065.0
48,-49.6764674368682,178.7648169525,1.0,813.0
49,-49.6814672062078,178.799816452284,1.0,813.0
50,-36.7842426577122,174.776813095576,1.0,8065.0
51,-35.4079245257363,173.963583768145,1.0,8065.0
52,-36.9455884673234,174.8984702053,1.0,8065.0
53,-36.7784723710621,174.775847188419,1.0,8065.0
54,-37.2825417398132,176.275247198328,1.0,8065.0
55,-36.7899356401557,174.764475927141,1.0,8065.0
56,-36.7932032601347,174.760345690731,1.0,8065.0
57,-46.5719157584572,166.902887340718,1.0,81315.0
58,-35.7148230209278,174.314110752113,1.0,8065.0
59,-36.780844544813,174.760468326099,1.0,8065.0
60,-36.7841325867742,174.758378221248,1.0,8065.0
61,-46.5778572377546,166.902587908408,1.0,81315.0
62,-35.3388978254299,173.830555928216,1.0,8065.0
63,-35.7822315949447,174.183807265217,1.0,8065.0
64,-38.7986386642074,175.799977796726,1.0,8065.0
65,-38.4999633171449,176.13205313806,1.0,8065.0
66,-35.8737000201496,174.221982584281,1.0,8065.0
67,-35.6626311928423,174.376045258208,1.0,8065.0
68,-35.6541768217375,174.401272696125,1.0,8065.0
69,-35.6312487922431,174.223065019761,1.0,8065.0
70,-49.7064664560187,178.754817232628,1.0,813.0
71,-35.6827958037508,174.281451997974,1.0,8065.0
72,-35.7475802280832,174.217460421531,1.0,8065.0
73,-35.7155371460591,174.328491216791,1.0,8065.0
74,-46.5775856114158,166.896757462276,1.0,81315.0
75,-35.3737405697233,173.864035138398,1.0,8065.0
76,-36.7923154686128,174.894551983845,1.0,8065.0
77,-36.7890251189594,174.895605504716,1.0,8065.0
78,-36.7939650004513,174.893521004586,1.0,8065.0
79,-35.7483465524856,174.228529959611,1.0,8065.0
80,-35.7893259356773,174.159909248278,1.0,8065.0
81,-35.7482288645098,174.08370247061,1.0,8065.0
82,-37.2181089372657,174.907250267892,1.0,8065.0
83,-35.7429608927019,174.151047793309,1.0,8065.0
84,-37.186269397357,175.118164843488,1.0,8065.0
85,-37.2616159385088,174.99414783436,1.0,8065.0
86,-37.1981126972177,174.812061117074,1.0,8065.0
87,-37.2517092714776,174.840525616975,1.0,8065.0
88,-37.2888494157204,174.882122934141,1.0,8065.0
89,-37.1875796131858,174.951472751996,1.0,8065.0
90,-37.3092373969218,175.002283350347,1.0,8065.0
91,-37.2483880900282,174.876514643743,1.0,8065.0
92,-37.1955592288178,174.807927138657,1.0,8065.0
93,-37.1981126972177,174.812061117074,1.0,8065.0
94,-37.1986119087455,174.939388676694,1.0,8065.0
95,-37.2057584920271,174.942968537204,1.0,8065.0
96,-37.3363053548822,174.794242684023,1.0,8065.0
97,-37.22099684926,175.045956483633,1.0,8065.0
98,-37.1639135472712,174.964323020324,1.0,8065.0
99,-36.109390213734,174.52396902518,1.0,8065.0
100,-37.3437175032977,174.782018307297,1.0,8065.0
101,-36.1023604172371,174.511596449405,1.0,8065.0
102,-37.2906492503512,174.983698991602,1.0,8065.0
103,-35.6778798915754,174.313391543139,1.0,8065.0
