Longitude,Latitude,ReconPlateID,ReconAge
177.9378,-29.2578,839.0,
166.865367832868,-46.570395927392205,81315.0,1.0
179.114,-30.9,839.0,1.0
176.27524719832803,-37.282541739813205,8065.0,1.0
176.27524719832803,-37.282541739813205,8065.0,1.0
174.85166659652901,-36.8967310666204,8065.0,1.0
173.801601281202,-35.4797499786152,8065.0,1.0
174.85146148792,-36.921448484417205,8065.0,1.0
174.86200880988,-37.0104872840772,8065.0,1.0
176.238263195309,-37.2881263679737,8065.0,1.0
176.23520848509102,-37.295428025679605,8065.0,1.0
176.24336668853002,-37.27625693246421,8065.0,1.0
176.237732593718,-37.2764201248199,8065.0,1.0
176.241971129376,-37.2952322963833,8065.0,1.0
174.86099804069198,-37.008837302939604,8065.0,1.0
176.277211958579,-37.276172528748,8065.0,1.0
176.266782632541,-37.2701657497062,8065.0,1.0
174.836364969826,-36.8875836403585,8065.0,1.0
176.270451160306,-37.2763702885159,8065.0,1.0
174.74530773087398,-36.9677847918719,8065.0,1.0
178.885,-31.05,839.0,1.0
174.838382524609,-36.890893023020396,8065.0,1.0
176.27524719832803,-37.282541739813205,8065.0,1.0
174.781860150199,-36.9020930664513,8065.0,1.0
176.25016852419398,-37.2769612173995,8065.0,1.0
174.85136539233503,-36.932157676951604,8065.0,1.0
175.938487994804,-38.3847027145054,8065.0,1.0
173.98508020608398,-35.3022546832386,8065.0,1.0
177.9378,-29.2578,839.0,1.0
174.846245744123,-36.9313082031681,8065.0,1.0
174.854597253768,-36.9148690531161,8065.0,1.0
174.742954566474,-36.998259176442104,8065.0,1.0
176.25016852419398,-37.2769612173995,8065.0,1.0
174.747095073392,-36.9958124631951,8065.0,1.0
174.743975594774,-36.9990897831823,8065.0,1.0
174.828308858279,-36.9872336184252,8065.0,1.0
174.75719046531998,-36.907709567995894,8065.0,1.0
166.902067398969,-46.57871556051521,81315.0,1.0
174.838111960986,-36.9221999874982,8065.0,1.0
174.705153269877,-36.8801881992917,8065.0,1.0
174.025539860186,-35.2189103446769,8065.0,1.0
174.720407289708,-36.8926427139247,8065.0,1.0
176.27524719832803,-37.282541739813205,8065.0,1.0
174.858614034122,-36.8028387391177,8065.0,1.0
179.114,-30.9,839.0,1.0
174.720681261071,-36.866284998657996,8065.0,1.0
174.87004304170102,-36.783127076681296,8065.0,1.0
174.893633212503,-36.7783070236422,8065.0,1.0
178.7648169525,-49.6764674368682,813.0,1.0
178.799816452284,-49.6814672062078,813.0,1.0
174.776813095576,-36.784242657712205,8065.0,1.0
173.96358376814499,-35.4079245257363,8065.0,1.0
174.8984702053,-36.9455884673234,8065.0,1.0
174.775847188419,-36.7784723710621,8065.0,1.0
176.27524719832803,-37.282541739813205,8065.0,1.0
174.764475927141,-36.789935640155704,8065.0,1.0
174.76034569073101,-36.7932032601347,8065.0,1.0
166.902887340718,-46.5719157584572,81315.0,1.0
174.314110752113,-35.714823020927795,8065.0,1.0
174.76046832609902,-36.780844544813,8065.0,1.0
174.75837822124802,-36.7841325867742,8065.0,1.0
166.90258790840798,-46.5778572377546,81315.0,1.0
173.83055592821603,-35.338897825429896,8065.0,1.0
174.183807265217,-35.782231594944705,8065.0,1.0
175.799977796726,-38.798638664207395,8065.0,1.0
