Sample_ID,Collection,Coll_No,Plot_unit,Feature_Type,Feature_Name,Top_Depth,Bottom_Depth,Field_Number,Collection_Date,Date_Rounding,Collectors,Country_Name,NZMG_Sheet,NZMG_East,NZMG_North,Latitude,Longitude,Method,Accuracy,Site_Description,In_Situ,Rock_Description,Colour,Litho2014_strat_name,Informal_strat_unit,Rock_Types,Age_Min,Age_Max,Sample_Types,Lab_Sample_ID(s),Material(s),Part_Analysed,Analysis_ID(s),Investigator(s),Analysis_Method(s),Geochron_Method(s),Laboratory(s),Lab_Number(s),Analysis_Date(s),Analysis_Date_Rounding(s),Analysis_Publication(s),Analysis_Bib_Ref(s),Analysis_Comment(s),age_sample_result_Ma,age_sample_2sig_err_abs,SiO2,TiO2,Al2O3,FeOT,Fe2O3T,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,Cr2O3,H2O_plus,H2O_minus,CO2,LOl,Majors_total,As,Ba,Ce,Co,Cr,Cs,Cu,Dy,Er,Eu,Ga,Gd,Hf,Ho,La,Lu,Nb,Nd,Ni,Pb,Pr,Rb,Sc,Sm,Sr,Ta,Tb,Th,Tm,U,V,Y,Yb,Zn,Zr,He4_raw_nnc,He4_corr_nnc,He_R_Ra_raw,He_R_Ra_corr,He_R_Ra_cor_err,dO18,Rb87_Sr86,Sr87_Sr86,Sr87_Sr86_err_abs,Sm147_Nd144,Nd143_Nd144,Nd143_Nd144_err_abs,Lu176_Hf177,Hf176_Hf177,Hf176_Hf177_err_abs,Pb206_Pb204,Pb206_Pb204_err_abs,Pb207_Pb204,Pb207_Pb204_err_abs,Pb208_Pb204,Pb208_Pb204_err_abs,age_model_assumed_Ma,Sr87_86i_calc,Nd143_144i_calc,eNdi_calc,Hf176_177i_calc,eHfi_calc,Pb206_204i_calc,Pb207_204i_calc,Pb208_204i_calc,Petlab notes,Age_Num,Age,ReconLon,ReconLat,ReconAge,ReconPlateID,gridage,gridcrust,gridsubcrust,gridlith,gridsublith,gridsed,gridsubsed,gridserp,gridsubserp,gridslabtop,gridslabage,gridslabdip,gridslabthick,gridslabvel,gridslabsubage
107479,other,MP117,Horomaka,Surface,,,,,33604,Decade,"Wilson, C.J.N.",New Zealand,U13,2797100.00000176,6429100.00004831,-34.15324831746373,155.978191835156,,50.0,"underlying lava at locality 3, Mayor Island",Yes,obsidian,,Mayor Island Group,,rhyolitic & lava flow,Quaternary,Quaternary,,1746,glass,,17248,"Wilson, C.J.N.",geochron methods,K-Ar,USGS,,"January 1, 1992",Decade,Wilson et al. 1992,,,0.063,0.018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.58,0.063,155.8172938646903,-34.627933056016985,1.0,833.0,62.442039489746094,7.734133760095574e-06,0.0,5.175451860850444e-06,0.0,1.708056515781209e-05,0.0,2.765473071485758e-06,0.0,930.0,0.0,0.0,0.0,0.0,66.186800063659
107480,other,MP286,Horomaka,Surface,,,,,33604,Decade,"Wilson, C.J.N.",New Zealand,U12,2797900.00000178,6431200.00004864,-23.93409282961949,150.9401132666708,,50.0,"underlying lava at locality 2, Mayor Island",Yes,obsidian,,Mayor Island Group,,rhyolitic & lava flow,Quaternary,Quaternary,,1746,glass,,17249,"Wilson, C.J.N.",geochron methods,K-Ar,USGS,,"January 1, 1992",Decade,Wilson et al. 1992,,,0.063,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.58,0.063,150.70105102594596,-24.429038738682692,1.0,801.0,55.79886245727539,7.794083103362937e-06,3.212765386706451e-05,4.582212113746209e-06,1.6145818335644435e-05,4.556071507977322e-05,2.8075833597540623e-05,0.0,1.8067022772102016e-05,370.0,0.0,0.0,0.0,0.0,55.0
107016,other,BFH-MP286,Horomaka,Surface,,,,,33604,Decade,"Houghton, B.F.",New Zealand,U12,2797400.00000175,6431200.00004864,-23.481718886098005,153.21773311151455,,50.0,"lava A, Western shield Ar1, Mayor Island",Yes,peralkaline lava,,Oira Pyroclastite,Mayor Island volcanics,peralkaline,Quaternary,Quaternary,,1676,whole rock,,16494,"Houghton, B.F.",geochron methods,K-Ar,USGS,,"January 1, 1992",Decade,Houghton et al. 1992,,,0.0635,0.007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.58,0.0635,152.9852803479448,-23.968033957456758,1.0,801.0,59.830322265625,7.794083103362937e-06,2.5082598767767195e-05,4.582212113746209e-06,1.206431761602289e-05,5.945808516116813e-05,1.803990789994714e-05,0.0,8.59557522306363e-06,410.0,0.0,0.0,0.0,0.0,52.0
107020,other,BFH-MP293,Horomaka,Surface,,,,,33604,Decade,"Houghton, B.F.",New Zealand,U13,2797700.00000172,6429100.00004831,-51.39979748375335,172.7132486866397,,50.0,"?lava A, Western shield, Mayor Island",Yes,peralkaline lava,,Oira Pyroclastite,Mayor Island volcanics,peralkaline,Quaternary,Quaternary,,1677,whole rock,,16498,"Houghton, B.F.",geochron methods,K-Ar,USGS,,"January 1, 1992",Decade,Houghton et al. 1992,,,0.064,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.58,0.064,173.14316430367816,-51.59686562874153,1.0,813.0,82.0,8.835577318677679e-06,4.252676944815903e-05,4.405616436997661e-06,2.4012071662582457e-05,4.371541308501037e-06,1.5451241097252932e-05,0.0,2.3791918460794252e-05,240.0,0.0,0.0,0.0,0.0,74.20400476361941
106864,ANU (GA),2866,Horomaka,Surface,,,,,1968-01-01 00:00:00,Decade,"Stipp, J.J.",New Zealand,R11,2675995.00000114,6464408.00005327,-51.51025758817871,161.8924384086545,,50.0,"Wiri Mountain, Auckland",Yes,basalt,,Auckland Basalts,Auckland Volcanic Field,basaltic,Quaternary,Quaternary,hand specimen,1661,whole rock,,16295;16296,"McDougall, I.;Stipp, J.J.",geochron methods;geochron methods,K-Ar;K-Ar,ANU;ANU,GA2866;GA2866,"January 1, 1969;January 1, 1968",Decade;Decade,McDougall et al. 1969;Stipp 1968,,,0.066,0.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.58,0.066,162.27820833815244,-51.6767992785644,1.0,901.0,25.0,6.035387286829064e-06,3.190977713529719e-05,4.357501893537119e-06,1.5220090062939562e-05,4.3606461986200884e-05,2.8962719170522178e-05,0.0,0.0,290.0,33.48881530761719,27.4509334564209,73601.7265625,0.04011623188853264,91.64933433697952
106978,other,BFH-MP103,Horomaka,Surface,,,,,33604,Decade,"Houghton, B.F.",New Zealand,U12,2800900.00000176,6431100.00004864,-36.46358450791239,150.75922357141607,,50.0,"NE lava shield segment Ar1, Mayor Island",Yes,peralkaline lava,,Oira Pyroclastite,Mayor Island volcanics,peralkaline,Quaternary,Quaternary,,1673,whole rock,,16455,"Houghton, B.F.",geochron methods,K-Ar,USGS,,"January 1, 1992",Decade,Houghton et al. 1992,,,0.066,0.014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.58,0.066,150.58060090353342,-36.95907335063737,1.0,801.0,72.94800567626953,8.140910722431727e-06,4.080234725734044e-05,5.227866040513618e-06,4.5614121972903376e-05,5.293299545883201e-05,2.546391260693781e-05,2.885710820555687e-06,2.5009676715524143e-05,930.0,52.45052719116211,38.89373779296875,278224.71875,0.09884051978588104,77.01429497532558
107478,other,MP103,Horomaka,Surface,,,,,33604,Decade,"Wilson, C.J.N.",New Zealand,U12,2800000.00000177,6431800.00004875,-41.133508406296215,150.8080750008255,,50.0,"overlying lava locality 1, Mayor Island",Yes,obsidian,,Mayor Island Group,,rhyolitic & lava flow,Quaternary,Quaternary,,1745,glass,,17247,"Wilson, C.J.N.",geochron methods,K-Ar,USGS,,"January 1, 1992",Decade,Wilson et al. 1992,,,0.067,0.022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.58,0.067,150.65777488201803,-41.62877089794534,1.0,801.0,74.90521240234375,8.296036867250223e-06,3.1711360406916356e-05,4.731597528007114e-06,3.287657909822883e-05,3.754840145120397e-05,1.5131725831452059e-05,0.0,1.6779667768659873e-05,1590.0,59.945037841796875,28.599510192871094,96684.453125,0.0368577241897583,101.0
106869,ANU (GA),2872,Horomaka,Surface,,,,,1969-01-01 00:00:00,Decade,"McDougall, I.",New Zealand,R11,2674089.00000118,6477908.00005534,-39.50991725776075,168.0904653609009,,50.0,Mt. Wellington,Yes,basalt,,Auckland Basalts,Auckland Volcanic Field,basaltic,Quaternary,Quaternary,hand specimen,1661,whole rock,,16306;16307,"Stipp, J.J.;McDougall, I.",geochron methods;geochron methods,K-Ar;K-Ar,ANU;ANU,GA2872;GA2872,"January 1, 1968;January 1, 1969",Decade;Decade,Stipp 1968;McDougall et al. 1969,,,0.068,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.58,0.068,168.0445756941506,-39.92123372521171,1.0,868.0,87.07201385498047,9.413058251084294e-06,0.000164031499025441,6.66069490762311e-06,0.0001357526548417809,2.480447847119649e-06,0.00011239396906148613,4.950306029058993e-06,0.00010586182607587914,1240.0,19.0,24.103496551513672,167934.421875,0.021140385419130325,53.47743705383389
107017,other,BFH-MP288,Horomaka,Surface,,,,,33604,Decade,"Houghton, B.F.",New Zealand,U12,2800300.00000181,6431100.00004864,-12.360534159565027,150.06217594861533,,50.0,"inner wall, Northeast shield, Mayor Island",Yes,peralkaline lava,,Oira Pyroclastite,Mayor Island volcanics,peralkaline,Quaternary,Quaternary,,1677,whole rock,,16495,"Houghton, B.F.",geochron methods,K-Ar,USGS,,"January 1, 1992",Decade,Houghton et al. 1992,,,0.068,0.018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.58,0.068,149.7747191293921,-12.858677836237355,1.0,836.0,55.4045524597168,7.763955181872007e-06,0.0001032686604958144,4.69352107757004e-06,5.950097738605109e-05,2.5799046852625906e-05,0.00017671230671112426,0.0,2.537201818007283e-05,580.0,100.43793487548828,43.192039489746094,199987.40625,0.10307785123586655,32.25426158147002
106877,ANU (GA),2885,Horomaka,Surface,,,,,1969-01-01 00:00:00,Decade,"McDougall, I.",New Zealand,R11,2665793.00000112,6469178.00005398,-21.079606934884307,155.6752475716126,,50.0,Puketutu,Yes,basalt,,Auckland Basalts,Auckland Volcanic Field,basaltic,Quaternary,Quaternary,hand specimen,1662,whole rock,,16324;16325,"Stipp, J.J.;McDougall, I.",geochron methods;geochron methods,K-Ar;K-Ar,ANU;ANU,GA2885;GA2885,"January 1, 1968;January 1, 1969",Decade;Decade,Stipp 1968;McDougall et al. 1969,,,0.079,0.009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.58,0.079,155.43968907391272,-21.555767639201143,1.0,833.0,58.70452880859375,7.736161023785826e-06,2.4273478629766032e-05,4.627609087037854e-06,1.2072804565832485e-05,4.6641071094200015e-05,2.148889552699984e-05,0.0,9.992332252606794e-06,450.0,64.7047119140625,28.772876739501953,99415.5390625,0.036772772669792175,41.14257551042675
169059,other,RVAN-17-14.1,Arc,Dredge,Nesmeyanov-N17-14,,,,,,"Ballance, P.F.",Offshore Regions,,,,-45.42851291815887,165.9028768283526,,,Western Kermadec Ridge,,,,,,,,,,,whole rock,,44841,"Itaya, T.",geochron methods,K-Ar,Okayama University of Science,S25-153,32874,Decade,"Ballance et al 1999, Marine Geology",,,0.08,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,165.9069771142988,-45.852534800221605,1.0,833.0,102.8564453125,9.194720405503176e-06,7.38145081413677e-06,3.892258973792195e-06,4.2034153011627495e-06,4.304572485125391e-06,3.4312472507735947e-06,0.0,0.0,290.0,0.0,0.0,0.0,0.0,43.13888984176773
106868,ANU (GA),2871,Horomaka,Surface,,,,,1969-01-01 00:00:00,Decade,"McDougall, I.",New Zealand,R11,2674261.00000118,6477537.0000553,-26.50938653392224,168.86862153425201,,50.0,Mt. Wellington,Yes,basalt,,Auckland Basalts,Auckland Volcanic Field,basaltic,Quaternary,Quaternary,hand specimen,1661,whole rock,,16304;16305;16302;16303,"Stipp, J.J.;McDougall, I.;McDougall, I.;Stipp, J.J.",geochron methods;geochron methods;geochron methods;geochron methods,K-Ar;K-Ar;K-Ar;K-Ar,ANU;ANU;ANU;ANU,GA2871;GA2871;GA2871;GA2871,"January 1, 1968;January 1, 1969;January 1, 1969;January 1, 1968",Decade;Decade;Decade;Decade,Stipp 1968;;McDougall et al. 1969;,,,0.083,0.009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.58,0.083,168.7125406489516,-26.916322721126427,1.0,834.0,28.843379974365234,6.208331342349993e-06,1.7672032299742568e-05,4.54314840681036e-06,8.65229139890289e-06,4.531343438429758e-05,5.433864998849458e-06,0.0,3.7916243601848625e-06,500.0,0.0,0.0,0.0,0.0,36.10927172630223
107014,other,BFH-MP281,Horomaka,Surface,,,,,33604,Decade,"Houghton, B.F.",New Zealand,U12,2800700.00000175,6430400.00004854,-41.01081009310478,153.58396655178123,,50.0,"lava B, NE lava shield, Mayor Island",Yes,peralkaline lava,,Oira Pyroclastite,Mayor Island volcanics,peralkaline,Quaternary,Quaternary,,1676,whole rock,,16492,"Houghton, B.F.",geochron methods,K-Ar,USGS,,"January 1, 1992",Decade,Houghton et al. 1992,,,0.083,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.58,0.083,153.45374882183125,-41.4954626819283,1.0,801.0,66.52424621582031,7.671540515730157e-06,2.1189654034969863e-05,4.646950401365757e-06,1.5735855868115323e-05,1.7823995221988298e-05,1.342890709565836e-05,0.0,6.518663913533102e-06,1570.0,29.691776275634766,30.075164794921875,69307.328125,0.06274216622114182,93.39313523374432
