Sample_ID,Collection,Coll_No,Plot_unit,Feature_Type,Feature_Name,Top_Depth,Bottom_Depth,Field_Number,Collection_Date,Date_Rounding,Collectors,Country_Name,NZMG_Sheet,NZMG_East,NZMG_North,Latitude,Longitude,Method,Accuracy,Site_Description,In_Situ,Rock_Description,Colour,Litho2014_strat_name,Informal_strat_unit,Rock_Types,Age_Min,Age_Max,Sample_Types,Lab_Sample_ID(s),Material(s),Part_Analysed,Analysis_ID(s),Investigator(s),Analysis_Method(s),Geochron_Method(s),Laboratory(s),Lab_Number(s),Analysis_Date(s),Analysis_Date_Rounding(s),Analysis_Publication(s),Analysis_Bib_Ref(s),Analysis_Comment(s),age_sample_result_Ma,age_sample_2sig_err_abs,SiO2,TiO2,Al2O3,FeOT,Fe2O3T,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,Cr2O3,H2O_plus,H2O_minus,CO2,LOl,Majors_total,As,Ba,Ce,Co,Cr,Cs,Cu,Dy,Er,Eu,Ga,Gd,Hf,Ho,La,Lu,Nb,Nd,Ni,Pb,Pr,Rb,Sc,Sm,Sr,Ta,Tb,Th,Tm,U,V,Y,Yb,Zn,Zr,He4_raw_nnc,He4_corr_nnc,He_R_Ra_raw,He_R_Ra_corr,He_R_Ra_cor_err,dO18,Rb87_Sr86,Sr87_Sr86,Sr87_Sr86_err_abs,Sm147_Nd144,Nd143_Nd144,Nd143_Nd144_err_abs,Lu176_Hf177,Hf176_Hf177,Hf176_Hf177_err_abs,Pb206_Pb204,Pb206_Pb204_err_abs,Pb207_Pb204,Pb207_Pb204_err_abs,Pb208_Pb204,Pb208_Pb204_err_abs,age_model_assumed_Ma,Sr87_86i_calc,Nd143_144i_calc,eNdi_calc,Hf176_177i_calc,eHfi_calc,Pb206_204i_calc,Pb207_204i_calc,Pb208_204i_calc,Petlab notes,Age_Num,Age,ReconLon,ReconLat,ReconAge,ReconPlateID,gridage,gridcrust,gridsubcrust,gridlith,gridsublith,gridsed,gridsubsed,gridserp,gridsubserp
106817,ANU (GA),2021,Horomaka,Surface,,,,,1968-01-01 00:00:00,Decade,"Stipp, J.J.",New Zealand,N37,2507544.00000002,5706584.99996839,-43.8498299513242,172.969181868346,,50.0,"road cutting on Lighthouse Road on E rim of Akaroa, 610m",Yes,basalt,,Akaroa Volcanic Group,Akaroa Volcano,basaltic,Miocene,Miocene,hand specimen,1656,whole rock,,16226,"Stipp, J.J.",geochron methods,K-Ar,ANU,GA2021,"January 1, 1968",Decade,Stipp & McDougall 1968,,,8.4,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.03,79,-168.61680889008,-63.46375686985805,79.0,813.0,47.024050673668484,8.216145021104148e-06,3.0696436339045474e-05,3.7843991448529478e-06,3.7843991448529478e-06,7.1667343839220236e-06,3.721530052501244e-05,0.0,5.335859858524159e-06
171551,Otago University (OU),20659,Horomaka,Surface,,,,20659,39448,Decade,"Adams, C.J. & Coombs, D.S.",New Zealand,I43,2326800.00000137,5501399.99995115,-45.673115575913,170.650098233233,"Map - 1:50,000 scale",50.0,Brinns Point,Yes,neph trachyandesite,,Dunedin Volcanic Group,Dunedin Volcanic Group,trachytic & andesitic,Miocene,Miocene,hand specimen,5480,whole rock,,66853;66810,"Coombs, D.S.;Adams, C.J.",XRF;geochron methods,;K-Ar,Otago U;INS,;,"January 1, 2008;January 1, 2008",Decade;Decade,;,,,13.9,1.2,48.39,1.53,16.57,,9.67,,,0.19,4.65,7.15,6.46,3.43,0.36,,,,,1.66,100.07,,478,131,,166,,,,,,24,,,,,,116,,96,9,,90,13,,559.0,,,18,,,146.0,30.0,,,460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.03,79,-173.4498216665551,-64.72084083803688,79.0,813.0,48.42760132114411,8.298028047752547e-06,1.7584048440497476e-05,3.785339359150888e-06,3.785339359150888e-06,9.060357115231454e-06,2.2553194404146456e-05,0.0,2.614067735483209e-06
63153,other,TAS-85-177,Tasmantid,Dredge,Franklin 3/85-DH1,600,1000,TAS-85177,31206,Year,"Duncan, R.A. & Eggins, S.M. & McDougall, I.",Offshore Regions,,,,-30.9349404977167,156.232995863426,Location name,500.0,Seamount - Derwent Hunter,Almost,Clast 15x6x8cm,,,,"basaltic & rudaceous (cgl, br)",Pliocene,Miocene,unknown,,whole rock,,,"McDougall, I.",geochron methods,K-Ar,,,,,McDougall & Duncan 1988,,,15.3,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.03,79,148.79784736933414,-55.526747619138895,79.0,833.0,0.019564110785722733,4.57711848866893e-06,0.00039103217195060353,6.492830380011584e-06,6.492830380011584e-06,3.33741377289698e-06,0.0,4.920473601669074e-06,8.986410523677949e-05
106013,Victoria University (VU),32456,Horomaka,Surface,,,,,1992-01-01 00:00:00,Decade,"Grapes, R.H.",New Zealand,O30,2556799.99999997,5914999.99998998,-41.9724549440274,173.564548431589,,50.0,Gladstone Stream,Yes,Basanite dike,,Pahau Terrane,Awatere Dike Swarm,basanitic & hypabyssal: basic,Paleocene,Cretaceous,hand specimen & normal thin section,1564,whole rock,,137870;15222,"Baker, I.A.;Grapes, R.H.",XRF;geochron methods,;K-Ar,Victoria U;INS,;,"January 1, 1994;January 1, 1992",Year;Decade,Baker et al. 1994;Grapes et al. 1992,,,82.3,1.2,44.68,4.01,13.19,,,13.12,,0.19,7.02,11.39,2.91,1.43,0.78,,,,,1.42,100.13,1,416,137,,259,,75,,,,25,,,,57,,72,,109,6,,34,18,,955.0,,,7,,1,289.0,36.0,,105.0,365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.0,79,-169.79302079571897,-61.76538254380639,79.0,8067.0,46.857137579540755,8.209462294490167e-06,6.0970782812302624e-05,3.7848634489069384e-06,3.7848634489069384e-06,7.757552162167074e-06,3.826866241446922e-05,0.0,2.0652384552615742e-05
110325,GNS P (P),67437,,Dredge,Sonne 168-62,2441,3102,SO168-DR62-02A,37624,,"Hauff, F. & Hoernle, K. & Mortimer, N.",Offshore Regions,,,,-43.0619,168.7539,,50.0,Takahe Plateau. Across nose of northwestern plateau margin,Yes,two rock types A: greyish orange pink (5YR7/2) fsp pptic (60%) hb (altd 5%) granite-granodiorite.,5.0 Y 7/2,,,hypabyssal: acid & granitic,Miocene,Cretaceous,"hand specimen & normal thin section & mineral separate:GNS box 636, 222, 262 & powder",2100,whole rock,,30945;30974;31514;23390,"Hauff, F.;Hauff, F.;Hauff, F.;Mortimer, N.",ICP-MS dissolution;ICP-MS fused bead;TIMS;XRF,U-Pb zircon,Kiel U;Kiel U;Kiel U;Spectrachem,;;B20;SA7116,"May 19, 2004;November 17, 2004;November 17, 2004;May 16, 2003",Month;Month;Month;,Mortimer et al 2006 Geology,,"Prob Ta contamination Zr Hf Nb poorreanalysis of fused LiBO2 bead Zr Hf Nb poor, Pb contam from flux?leached 6N HCl 1 hr inits from ICPMS traces",97.1,0.6,67.57,0.53,15.94,,3.47,,,0.03,1.29,1.18,3.4,3.89,0.14,,,,,2.11,99.53,6,794.283,58.057,30.965,6.981,5.347,7.181,4.982,2.84,0.864,21.195,5.243,9.591,0.982,27.877,,11.779,26.676,7.511,21.922,7.124,162.059,7.165,5.537,160.508,0.576,0.799,11.745,0.425,1.707,41.26,26.476,2.947,57.882,352.215,,,,,,,,0.709055,2e-06,,0.512642,3e-06,,,,18.775,0.001,15.623,0.001,38.589,0.001,100.0,0.704984,,0.08,,,,,,,145.0,79,173.42700157038854,-65.70889876969821,79.0,868.0,15.382283210754395,7.294414776883022e-06,3.447157397136304e-05,4.085503539306458e-06,4.085503539306458e-06,2.308081548108021e-06,1.555033872257371e-05,0.0,5.562778901747611e-06
105635,INS R (R),7713,Horomaka,Surface,,,,,29221,Decade,"Cooper, A.F.",New Zealand,K32,2380825.0000003,5837457.99998251,-42.6609139249342,171.42416346307,,,"Orangipuhu River , Hohonu Range",Yes,Lamprophyre dike,,Horomaka Supersuite,,lamprophyric & hypabyssal: basic,Cretaceous,Cretaceous,hand specimen,1513,whole rock,,14659,"Adams, C.J.",geochron methods,K-Ar,INS,R7713,"January 1, 1988",Decade,"Nathan et al, 2000",,,107.1,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.0,79,176.6049416453463,-63.466752365047824,79.0,80613.0,15.506980895996092,7.297921911231241e-06,1.950152736499983e-05,4.087185516254976e-06,4.087185516254976e-06,2.308081548108021e-06,1.4709493933134029e-05,0.0,3.223797747417044e-06
105371,Auckland University (AU),43811,Horomaka,Surface,,,,,33970,Decade,"Smith, I.E.M.",New Zealand,Q08,2647800.00000119,6564800.000067,-36.109390213734,174.52396902518,,,"Mangawhai, Wintles bush reserve, Tara Road",Yes,hawaiite,,Kerikeri Volcanic Group,Northland Basalts,trachytic & andesitic,Quaternary,Quaternary,hand specimen,1482,whole rock,,14328,"Smith, I.E.M.",geochron methods,K-Ar,HRI,AU43811,"January 1, 1993",Decade,Smith et al. 1993,,,0.74,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.58,80,176.55575207155098,-56.7697839849934,80.0,8065.0,4.963951110839843,6.022720065604948e-06,3.712258036400191e-05,7.4296813584115866e-06,7.4296813584115866e-06,2.856264039369782e-06,2.5681881119283706e-05,5.126724975003333e-06,8.783676365223215e-06
106112,INS R (R),12515,Horomaka,Surface,,,,,1975-01-01 00:00:00,Decade,"Grindley, G.W.",New Zealand,G38,2213747.00000154,5675702.99996572,-44.0685196454245,169.300700182083,,50.0,Fish River; below Mt. Kinross,Yes,Camptonite dike,,Wanaka Lithologic Association,Haast Dike Swarm,lamprophyric & hypabyssal: basic,Miocene,Oligocene,hand specimen,1574,whole rock,,15327,"Adams, C.J.",geochron methods,K-Ar,INS,R12515,"January 1, 2000",Decade,Nathan et al. 2000,,,31.6,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.9,80,-174.46961131475229,-63.43516010315181,80.0,813.0,47.661476135253906,8.28788409093899e-06,2.541055798249416e-05,3.7855349418859795e-06,3.7855349418859795e-06,8.843179784889799e-06,2.4205025644065602e-05,0.0,4.212536776001669e-06
105486,Auckland University (AU),36476,Horomaka,Surface,,,,36476,30317,Decade,"Law, B.A.",New Zealand,O03,2537487.00000023,6704719.00004632,-34.8602469810619,173.290373452097,"Map - 1:50,000 scale",50.0,Rangiputa,Yes,Granophyre,,Rangiputa Granophyre,,hypabyssal: acid & granitic,Cretaceous,Cretaceous,hand specimen,1495,whole rock,,55122;14462,"Law, B.A.;Law, B.A.",XRF;geochron methods,;K-Ar,Auckland U;INS,;R10453,"January 1, 1983;January 1, 1983",Year;Decade,";Law, B.A., 1983","Law 1983, Ruddock 1990 theses",,72.9,0.87,62.97,0.94,13.74,,,1.11,7.56,0.21,0.7,2.3,4.53,3.27,0.3,,,0.61,,1.71,99.95,,573,,,0,,3,,,,,,,,38,,19,,0,17,,119,,,252.0,,,11,,,41.0,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.0,80,174.1722805952049,-55.86298179914143,80.0,8065.0,4.031124243086143,5.785248214641499e-06,1.8194583949660317e-05,6.164231569726584e-06,6.164231569726584e-06,3.925456439901609e-06,5.396002113816476e-06,4.750830775934175e-06,1.1306482954514101e-05
227277,other,TAN0713-17DR06 E1.1,Horomaka,Dredge,TAN0713-17DR06 E1.1,,,TAN0713-17DR06 E1.1,2007-01-01 00:00:00,Decade,"Dadd, K.A. & R/V Tangaroa",Offshore Regions,,,,-26.8719498130624,161.699922092721,GPS - Differential,2.0,"Mt Doom Volcano, Lord Howe Rise (unofficial volcano name)",Yes,Scoriaceous basalt,,,,basaltic,,,unknown,10632,whole rock,,103546,"Dadd, K.A.",geochron methods,other,Macquarie U,,"January 1, 2011",Decade,Dadd et al 2011,,Dated as Late Miocene-Pliocene from seismic reflectors,7.1,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,157.6004808063845,-50.279173967502075,81.0,869.0,3.9192581176757812,5.843582130182768e-06,1.5821381026130796e-05,6.369669335981598e-06,6.369669335981598e-06,2.736310761974892e-06,9.964574596674096e-06,4.896628484129906e-06,0.0
